name,ingredients,steps
Chicken Curry,"['Chicken pieces', 'Curry powder', 'Onion', 'Garlic', 'Ginger', 'Coconut milk', 'Tomato', 'Potatoes', 'Salt', 'Vegetable oil']","['Sauté onion, garlic, and ginger.', 'Add chicken and curry powder. Cook until browned.', 'Stir in coconut milk, tomato, and potatoes. Simmer until chicken is cooked and potatoes are tender.', 'Season with salt. Serve hot with rice or bread.']"
Shrimp and Grits,"['Shrimp', 'Grits', 'Bacon', 'Onion', 'Bell pepper', 'Garlic', 'Chicken broth', 'Butter', 'Salt and pepper']","['Cook grits according to package instructions.', 'Sauté bacon, onion, bell pepper, and garlic.', 'Add shrimp and cook until pink.', 'Stir in chicken broth and butter. Season with salt and pepper.', 'Serve shrimp mixture over hot grits.']"
Steak,"['Steak cuts (such as ribeye, sirloin, or filet mignon)', 'Salt', 'Pepper', 'Olive oil', 'Butter', 'Garlic', 'Rosemary']","['Season steaks with salt and pepper.', 'Sear in olive oil and butter.', 'Add garlic and rosemary.', 'Cook to desired doneness.']"
Cheesecake,"['Cream cheese', 'Sugar', 'Eggs', 'Sour cream', 'Vanilla extract', 'Graham cracker crumbs', 'Butter', 'Lemon zest (optional)']","['Mix cream cheese and sugar until smooth.', 'Beat in eggs, one at a time.', 'Stir in sour cream, vanilla extract, and lemon zest.', 'Press graham cracker crumbs mixed with melted butter into a crust.', 'Pour filling over crust and bake until set.', 'Chill before serving.']"
Red Velvet Cake,"['Cake flour', 'Cocoa powder', 'Baking soda', 'Salt', 'Unsalted butter', 'Sugar', 'Eggs', 'Buttermilk', 'Vanilla extract', 'Red food coloring', 'White vinegar', 'Cream cheese', 'Powdered sugar', 'Vanilla extract']","['Preheat oven. Sift dry ingredients.', 'Cream butter and sugar. Add eggs one at a time.', 'Mix in buttermilk, vanilla, and food coloring.', 'Alternate adding dry ingredients and vinegar.', 'Bake and cool. Frost with cream cheese frosting.']"
Waffles,"['Flour', 'Baking powder', 'Salt', 'Sugar', 'Eggs', 'Milk', 'Butter', 'Vanilla extract']","['Mix dry ingredients. Beat eggs, milk, butter, and vanilla.', 'Combine wet and dry ingredients. Cook in waffle iron.']"
Churros,"['Water', 'Butter', 'Sugar', 'Salt', 'Flour', 'Eggs', 'Vegetable oil (for frying)', 'Cinnamon sugar (for coating)']","['Boil water, butter, sugar, and salt. Stir in flour.', 'Beat in eggs. Pipe dough into hot oil. Fry until golden.', 'Drain and coat with cinnamon sugar.']"
Gyoza,"['Ground pork', 'Cabbage', 'Garlic', 'Ginger', 'Green onions', 'Soy sauce', 'Sesame oil', 'Salt', 'Pepper', 'Gyoza wrappers', 'Vegetable oil (for frying)', 'Dipping sauce (soy sauce, rice vinegar, chili oil)']","['Mix pork, cabbage, garlic, ginger, green onions, soy sauce, sesame oil, salt, and pepper.', 'Place filling in wrappers. Seal and pleat edges.', 'Pan-fry until golden. Steam to cook through.']"
Lobster Roll Sandwich,"['Lobster meat', 'Mayonnaise', 'Lemon juice', 'Salt', 'Pepper', 'Butter', 'Hot dog buns', 'Chives (optional)']","['Mix lobster, mayonnaise, lemon juice, salt, and pepper.', 'Butter and toast buns. Fill with lobster mixture.', 'Garnish with chives if desired.']"
Huevos Rancheros,"['Tortillas', 'Eggs', 'Black beans', 'Salsa', 'Avocado', 'Cheese', 'Cilantro', 'Salt', 'Pepper', 'Olive oil']","['Fry tortillas. Cook eggs as desired.', 'Heat black beans and salsa.', 'Assemble with beans, eggs, avocado, cheese, and cilantro.']"
Breakfast Burrito,"['Tortillas', 'Eggs', 'Bacon or sausage', 'Potatoes', 'Cheese', 'Salsa', 'Avocado', 'Salt', 'Pepper', 'Olive oil']","['Cook bacon/sausage and potatoes. Scramble eggs.', 'Heat tortillas. Fill with eggs, bacon/sausage, potatoes, cheese, salsa, and avocado.', 'Roll up and serve.']"
Grilled Cheese Sandwich,"['Bread slices', 'Cheese (e.g., cheddar, American)', 'Butter']","['Butter one side of each bread slice.', 'Place cheese between bread slices, buttered side out.', 'Heat skillet over medium heat. Cook sandwich until golden brown on both sides.']"
Spaghetti Bolognese,"['Ground beef', 'Onion', 'Garlic', 'Carrot', 'Celery', 'Tomato paste', 'Crushed tomatoes', 'Red wine', 'Beef broth', 'Olive oil', 'Spaghetti', 'Salt', 'Pepper', 'Parmesan cheese (for serving)']","['Sauté onion, garlic, carrot, and celery.', 'Add ground beef. Cook until browned.', 'Stir in tomato paste, crushed tomatoes, red wine, and beef broth.', 'Simmer until sauce thickens. Season with salt and pepper.', 'Serve over cooked spaghetti. Garnish with Parmesan cheese.']"
Falafel,"['Dried chickpeas', 'Onion', 'Garlic', 'Parsley', 'Cilantro', 'Cumin', 'Coriander', 'Baking powder', 'Salt', 'Pepper', 'Vegetable oil (for frying)']","['Soak chickpeas overnight. Drain.', 'Blend chickpeas, onion, garlic, parsley, cilantro, cumin, coriander, baking powder, salt, and pepper.', 'Shape into balls. Fry until golden brown.']"
Poutine,"['French fries', 'Cheese curds', 'Gravy']","['Cook French fries until crispy.', 'Place cheese curds on top. Pour hot gravy over fries and cheese.']"
Greek Salad,"['Romaine lettuce', 'Cucumber', 'Tomato', 'Red onion', 'Kalamata olives', 'Feta cheese', 'Olive oil', 'Red wine vinegar', 'Dried oregano', 'Salt', 'Pepper']","['Chop lettuce, cucumber, tomato, and onion.', 'Toss with olives and feta cheese.', 'Dress with olive oil, red wine vinegar, oregano, salt, and pepper.']"
Beef Tartare,"['Beef tenderloin', 'Shallot', 'Capers', 'Dijon mustard', 'Worcestershire sauce', 'Tabasco sauce', 'Egg yolk', 'Salt', 'Pepper', 'Olive oil', 'Baguette (for serving)']","['Finely chop beef tenderloin, shallot, and capers.', 'Mix with mustard, Worcestershire sauce, Tabasco sauce, egg yolk, salt, and pepper.', 'Form into a mound. Drizzle with olive oil.', 'Serve with toasted baguette slices.']"
Fried Calamari,"['Squid tubes', 'Flour', 'Cornmeal', 'Salt', 'Pepper', 'Vegetable oil (for frying)', 'Lemon wedges (for serving)', 'Marinara sauce (for dipping)']","['Slice squid tubes into rings. Mix flour, cornmeal, salt, and pepper.', 'Dredge squid rings in flour mixture. Fry until golden brown.', 'Serve with lemon wedges and marinara sauce for dipping.']"
Guacamole,"['Avocados', 'Tomato', 'Onion', 'Jalapeno', 'Cilantro', 'Lime juice', 'Salt', 'Pepper']","['Mash avocados. Chop tomato, onion, jalapeno, and cilantro.', 'Mix with lime juice, salt, and pepper.', 'Serve with tortilla chips or as a topping for tacos.']"
Ravioli,"['Ravioli pasta', 'Ricotta cheese', 'Parmesan cheese', 'Egg', 'Salt', 'Pepper', 'Marinara sauce (optional)', 'Basil (for garnish)']","['Prepare ravioli pasta dough.', 'Mix ricotta cheese, Parmesan cheese, egg, salt, and pepper for filling.', 'Fill ravioli pasta with cheese mixture. Cook until tender.', 'Serve with marinara sauce and garnish with basil if desired.']"
Lobster Bisque,"['Lobster meat', 'Butter', 'Onion', 'Carrot', 'Celery', 'Tomato paste', 'Brandy', 'Fish stock', 'Heavy cream', 'Paprika', 'Cayenne pepper', 'Salt', 'Pepper', 'Chives (for garnish)']","['Sauté lobster shells in butter. Add onion, carrot, celery, and tomato paste.', 'Deglaze with brandy. Add fish stock and simmer.', 'Strain and return to pot. Stir in heavy cream, paprika, cayenne pepper, salt, and pepper.', 'Add lobster meat. Simmer until heated through. Garnish with chives.']"
Beet Salad,"['Beets', 'Goat cheese', 'Walnuts', 'Arugula', 'Balsamic vinegar', 'Olive oil', 'Salt', 'Pepper']","['Roast beets. Peel and slice.', 'Toast walnuts. Mix with arugula and goat cheese.', 'Dress with balsamic vinegar, olive oil, salt, and pepper.']"
Risotto,"['Arborio rice', 'Onion', 'Garlic', 'White wine', 'Chicken or vegetable broth', 'Parmesan cheese', 'Butter', 'Salt', 'Pepper', 'Fresh herbs (optional)']","['Sauté onion and garlic. Add Arborio rice. Deglaze with white wine.', 'Gradually add broth, stirring constantly until absorbed.', 'Stir in Parmesan cheese and butter. Season with salt and pepper.', 'Garnish with fresh herbs if desired.']"
Crab Cakes,"['Crab meat', 'Mayonnaise', 'Dijon mustard', 'Worcestershire sauce', 'Old Bay seasoning', 'Bread crumbs', 'Egg', 'Butter', 'Lemon wedges (for serving)']","['Mix crab meat, mayonnaise, mustard, Worcestershire sauce, Old Bay seasoning, bread crumbs, and egg.', 'Form into patties. Refrigerate to firm up.', 'Cook in butter until golden brown on both sides.', 'Serve with lemon wedges.']"
Strawberry Shortcake,"['Strawberries', 'Sugar', 'Flour', 'Baking powder', 'Salt', 'Butter', 'Milk', 'Whipped cream']","['Slice strawberries and toss with sugar.', 'Mix flour, sugar, baking powder, and salt. Cut in butter. Stir in milk.', 'Drop dough onto baking sheet. Bake until golden brown.', 'Serve with strawberries and whipped cream.']"
Edamame,"['Edamame (young soybeans)', 'Salt']","['Boil or steam edamame until tender.', 'Sprinkle with salt. Serve warm or chilled.']"
Ceviche,"['White fish (such as tilapia or cod)', 'Shrimp', 'Lime juice', 'Lemon juice', 'Red onion', 'Tomato', 'Cilantro', 'Jalapeno', 'Salt', 'Pepper', 'Avocado (optional)', 'Tortilla chips (for serving)']","['Dice fish and shrimp. Mix with lime juice and lemon juice. Marinate until fish is opaque.', 'Stir in red onion, tomato, cilantro, jalapeno, salt, and pepper.', 'Serve with avocado slices and tortilla chips.']"
Hot and Sour Soup,"['Chicken or pork broth', 'Tofu', 'Mushrooms', 'Bamboo shoots', 'Wood ear fungus', 'Soy sauce', 'Rice vinegar', 'Cornstarch', 'Egg', 'Sesame oil', 'Green onions', 'White pepper', 'Chili oil (optional)']","['Bring broth to a boil. Add tofu, mushrooms, bamboo shoots, and fungus.', 'Season with soy sauce, rice vinegar, and white pepper.', 'Thicken with cornstarch slurry. Drizzle in beaten egg.', 'Finish with sesame oil, green onions, and chili oil if desired.']"
Spring Rolls,"['Spring roll wrappers', 'Shrimp', 'Rice vermicelli', 'Lettuce', 'Carrots', 'Cucumber', 'Mint leaves', 'Thai basil', 'Fish sauce', 'Lime juice', 'Sugar', 'Garlic', 'Chili (optional)']","['Cook shrimp and rice vermicelli. Julienne lettuce, carrots, and cucumber.', 'Soak spring roll wrappers. Fill with shrimp, vermicelli, vegetables, and herbs.', 'Roll tightly and seal. Serve with dipping sauce.']"
Sashimi,"['Fresh raw fish (such as tuna, salmon, yellowtail)', 'Soy sauce', 'Wasabi', 'Pickled ginger']","['Slice fish thinly. Arrange on a plate.', 'Serve with soy sauce, wasabi, and pickled ginger.']"
Paella,"['Arborio rice', 'Chicken', 'Chorizo', 'Shrimp', 'Mussels', 'Onion', 'Garlic', 'Bell pepper', 'Tomato', 'Saffron', 'Paprika', 'Chicken broth', 'Olive oil', 'Salt', 'Pepper']","['Sauté chicken, chorizo, onion, garlic, and bell pepper.', 'Add rice, saffron, paprika, and tomato. Stir to coat.', 'Pour in chicken broth. Simmer until rice is cooked.', 'Add shrimp and mussels. Cook until seafood is done.']"
Clam Chowder,"['Clams', 'Bacon', 'Onion', 'Celery', 'Potato', 'Flour', 'Milk', 'Bay leaf', 'Thyme', 'Butter', 'Salt', 'Pepper']","['Cook bacon until crispy. Sauté onion, celery, and potato.', 'Stir in flour. Add milk, bay leaf, and thyme. Simmer until thickened.', 'Add clams. Cook until they open. Discard any unopened clams.', 'Finish with butter. Season with salt and pepper.']"
Miso Soup,"['Dashi (Japanese soup stock)', 'Miso paste', 'Tofu', 'Wakame seaweed', 'Green onions']","['Bring dashi to a simmer. Dissolve miso paste.', 'Add tofu and wakame seaweed. Simmer briefly.', 'Garnish with sliced green onions.']"
Escargots,"['Escargots (snails)', 'Garlic butter', 'Parsley', 'Baguette (for serving)']","['Clean and prepare escargots. Place in shells.', 'Top with garlic butter and parsley.', 'Bake until bubbly. Serve with sliced baguette.']"
Hot Dog,"['Hot dog sausages', 'Hot dog buns', 'Ketchup', 'Mustard', 'Relish', 'Onion (optional)', 'Cheese (optional)']","['Grill or boil hot dog sausages.', 'Toast hot dog buns. Place sausages inside.', 'Add toppings such as ketchup, mustard, relish, onion, and cheese as desired.']"
Pulled Pork Sandwich,"['Pork shoulder', 'Barbecue sauce', 'Hamburger buns', 'Coleslaw', 'Pickles (optional)']","['Rub pork shoulder with seasoning. Slow cook until tender.', 'Shred pork and mix with barbecue sauce.', 'Toast hamburger buns. Fill with pulled pork and coleslaw. Add pickles if desired.']"
Bruschetta,"['Baguette', 'Tomatoes', 'Garlic', 'Basil', 'Olive oil', 'Balsamic vinegar', 'Salt', 'Pepper']","['Slice baguette and toast until crisp.', 'Dice tomatoes and mix with minced garlic, chopped basil, olive oil, balsamic vinegar, salt, and pepper.', 'Spoon tomato mixture onto toasted baguette slices.']"
Panna Cotta,"['Heavy cream', 'Milk', 'Sugar', 'Gelatin', 'Vanilla extract', 'Fresh berries (for serving)', 'Mint leaves (for garnish)']","['Heat cream, milk, and sugar until sugar dissolves. Stir in gelatin and vanilla extract.', 'Pour mixture into molds. Refrigerate until set.', 'Serve with fresh berries and garnish with mint leaves.']"
Fish and Chips,"['White fish fillets (such as cod or haddock)', 'Flour', 'Baking powder', 'Salt', 'Beer', 'Potatoes', 'Oil (for frying)', 'Malt vinegar', 'Tartar sauce']","['Prepare batter with flour, baking powder, salt, and beer.', 'Coat fish fillets in batter. Fry until golden brown.', 'Cut potatoes into fries and fry until crispy.', 'Serve fish and chips with malt vinegar and tartar sauce.']"
Pad Thai,"['Rice noodles', 'Shrimp', 'Tofu', 'Eggs', 'Bean sprouts', 'Green onions', 'Garlic', 'Fish sauce', 'Tamarind paste', 'Sugar', 'Crushed peanuts', 'Lime wedges', 'Chili flakes']","['Soak rice noodles. Cook shrimp, tofu, and eggs.', 'Sauté garlic, green onions, and bean sprouts. Add noodles and sauce.', 'Stir in cooked ingredients. Serve with crushed peanuts, lime wedges, and chili flakes.']"
Tiramisu,"['Ladyfingers', 'Espresso', 'Marsala wine', 'Mascarpone cheese', 'Eggs', 'Sugar', 'Cocoa powder']","['Dip ladyfingers in espresso and Marsala wine. Layer in dish.', 'Mix mascarpone cheese, egg yolks, and sugar until smooth.', 'Beat egg whites until stiff. Fold into mascarpone mixture.', 'Spread over ladyfingers. Chill and dust with cocoa powder before serving.']"
Takoyaki,"['Takoyaki batter mix', 'Octopus pieces', 'Green onions', 'Tenkasu (tempura scraps)', 'Bonito flakes', 'Takoyaki sauce', 'Japanese mayonnaise', 'Aonori (seaweed flakes)']","['Heat takoyaki pan. Pour in batter. Add octopus, green onions, and tenkasu.', 'Cook until golden and crispy. Flip to cook evenly.', 'Serve with takoyaki sauce, mayonnaise, bonito flakes, and aonori.']"
Macarons,"['Almond flour', 'Powdered sugar', 'Egg whites', 'Granulated sugar', 'Food coloring (optional)', 'Buttercream or ganache filling']","['Sift almond flour and powdered sugar. Beat egg whites until stiff.', 'Fold dry ingredients into egg whites. Add food coloring if desired.', 'Pipe onto baking sheets. Let rest until dry. Bake until set.', 'Sandwich with buttercream or ganache filling.']"
Apple Pie,"['Pie crust (store-bought or homemade)', 'Apples', 'Sugar', 'Cinnamon', 'Nutmeg', 'Lemon juice', 'Butter', 'Egg wash']","['Preheat oven. Roll out pie crust and place in pie dish.', 'Peel and slice apples. Toss with sugar, cinnamon, nutmeg, and lemon juice.', 'Fill pie crust with apple mixture. Dot with butter.', 'Top with second crust. Seal and crimp edges. Brush with egg wash.', 'Bake until golden and bubbly.']"
Cannoli,"['Cannoli shells (store-bought or homemade)', 'Ricotta cheese', 'Powdered sugar', 'Vanilla extract', 'Chocolate chips', 'Candied fruit (optional)', 'Pistachios (optional)']","['Mix ricotta cheese, powdered sugar, and vanilla extract until smooth.', 'Stir in chocolate chips and candied fruit if using.', 'Pipe filling into cannoli shells. Garnish with chopped pistachios if desired.']"
Scallops,"['Scallops', 'Butter', 'Garlic', 'Lemon juice', 'Salt', 'Pepper', 'Parsley (for garnish)']","['Pat scallops dry. Season with salt and pepper.', 'Heat butter in a skillet. Sear scallops until golden brown on both sides.', 'Add minced garlic and lemon juice. Cook briefly.', 'Serve immediately, garnished with chopped parsley.']"
Frozen Yogurt,"['Greek yogurt', 'Honey or sugar', 'Vanilla extract', 'Fruit (optional)']","['Mix Greek yogurt, honey or sugar, and vanilla extract until smooth.', 'Stir in chopped fruit if desired.', 'Freeze until firm, stirring occasionally.']"
Chicken Quesadilla,"['Flour tortillas', 'Cooked chicken', 'Cheese (such as cheddar or Monterey Jack)', 'Bell pepper', 'Onion', 'Jalapeno', 'Tomato', 'Cilantro', 'Sour cream', 'Salsa']","['Place tortilla in a skillet. Layer with chicken, cheese, and vegetables.', 'Top with another tortilla. Cook until cheese is melted and tortilla is crispy.', 'Slice into wedges. Serve with sour cream and salsa.']"
Mussels,"['Mussels', 'White wine', 'Garlic', 'Shallot', 'Butter', 'Parsley', 'Baguette (for serving)']","['Clean mussels. Discard any that are open.', 'Sauté minced garlic and shallot in butter. Add mussels and white wine.', 'Cover and steam until mussels open. Discard any that remain closed.', 'Serve with broth and chopped parsley. Enjoy with crusty bread.']"
Beef Carpaccio,"['Beef tenderloin', 'Arugula', 'Parmesan cheese', 'Olive oil', 'Lemon juice', 'Capers', 'Salt', 'Pepper']","['Slice beef thinly and arrange on a plate.', 'Top with arugula and shaved Parmesan cheese.', 'Drizzle with olive oil and lemon juice. Sprinkle with capers, salt, and pepper.']"
Eggs Benedict,"['English muffins', 'Canadian bacon or ham', 'Eggs', 'Hollandaise sauce', 'Butter', 'Vinegar', 'Salt', 'Pepper']","['Toast English muffins and cook Canadian bacon.', 'Poach eggs in simmering water with vinegar.', 'Assemble by placing Canadian bacon on toasted muffins, topping with poached eggs, and spooning hollandaise sauce over.']"
Spaghetti Carbonara,"['Spaghetti', 'Bacon or pancetta', 'Eggs', 'Parmesan cheese', 'Black pepper', 'Garlic', 'Olive oil', 'Parsley (optional)']","['Cook spaghetti until al dente. Reserve some pasta water.', 'Sauté bacon or pancetta until crispy. Add minced garlic.', 'Mix cooked spaghetti with beaten eggs, grated Parmesan cheese, and black pepper.', 'Toss in bacon mixture, adding pasta water as needed to create a creamy sauce.', 'Garnish with chopped parsley if desired.']"
Omelette,"['Eggs', 'Milk', 'Butter', 'Salt', 'Pepper', 'Fillings (such as cheese, vegetables, ham)']","['Beat eggs with milk, salt, and pepper.', 'Melt butter in a skillet. Pour in egg mixture.', 'Cook until edges are set. Add fillings to one half of the omelette.', 'Fold omelette over and cook until eggs are fully set.']"
Sushi,"['Sushi rice', 'Nori (seaweed sheets)', 'Fish (such as tuna, salmon, or shrimp)', 'Vegetables (such as cucumber, avocado, or carrot)', 'Soy sauce', 'Wasabi', 'Pickled ginger']","['Cook sushi rice and season with rice vinegar, sugar, and salt.', 'Place nori on a bamboo sushi mat. Spread rice over nori.', 'Add fish and vegetables. Roll tightly using the sushi mat.', 'Slice into pieces and serve with soy sauce, wasabi, and pickled ginger.']"
Chocolate Mousse,"['Dark chocolate', 'Heavy cream', 'Sugar', 'Vanilla extract', 'Salt']","['Melt chocolate. Whip heavy cream with sugar, vanilla extract, and salt.', 'Fold melted chocolate into whipped cream until smooth.', 'Chill until set. Serve with whipped cream and chocolate shavings if desired.']"
Beignets,"['All-purpose flour', 'Sugar', 'Baking powder', 'Salt', 'Milk', 'Eggs', 'Vanilla extract', 'Vegetable oil (for frying)', 'Powdered sugar (for dusting)']","['Mix flour, sugar, baking powder, and salt. Stir in milk, eggs, and vanilla extract.', 'Heat oil in a deep fryer. Drop spoonfuls of batter into hot oil.', 'Fry until golden brown. Drain on paper towels and dust with powdered sugar.']"
Bibimbap,"['Cooked rice', 'Beef (or tofu)', 'Carrots', 'Spinach', 'Bean sprouts', 'Zucchini', 'Mushrooms', 'Eggs', 'Gochujang (Korean chili paste)', 'Sesame oil', 'Soy sauce', 'Garlic', 'Sugar', 'Sesame seeds', 'Vegetable oil']","['Marinate beef (or tofu) in soy sauce, garlic, sugar, and sesame oil. Cook.', 'Sauté vegetables separately. Fry eggs.', 'Arrange rice and cooked ingredients in a bowl. Top with gochujang and sesame seeds.']"
Hummus,"['Chickpeas', 'Tahini', 'Lemon juice', 'Garlic', 'Olive oil', 'Cumin', 'Salt', 'Paprika (for garnish)', 'Pita bread or vegetables (for serving)']","['Blend chickpeas, tahini, lemon juice, garlic, olive oil, cumin, and salt until smooth.', 'Adjust consistency with water if needed. Serve drizzled with olive oil and sprinkled with paprika.']"
Pork Chop,"['Pork chops', 'Salt', 'Pepper', 'Olive oil', 'Butter', 'Garlic', 'Thyme', 'Rosemary', 'Lemon juice']","['Season pork chops with salt and pepper.', 'Heat olive oil in a skillet. Add pork chops and sear on both sides.', 'Add butter, garlic, thyme, and rosemary. Baste pork chops until cooked through.', 'Finish with a squeeze of lemon juice before serving.']"
Chicken Wings,"['Chicken wings', 'Salt', 'Pepper', 'Garlic powder', 'Onion powder', 'Paprika', 'Baking powder', 'Butter', 'Hot sauce', 'Honey (optional)', 'Celery sticks and ranch dressing (for serving)']","['Pat chicken wings dry and season with salt, pepper, garlic powder, onion powder, and paprika.', 'Toss wings with baking powder. Bake until crispy.', 'Melt butter with hot sauce (and honey if desired). Toss cooked wings in sauce.', 'Serve with celery sticks and ranch dressing.']"
Grilled Salmon,"['Salmon fillets', 'Olive oil', 'Lemon juice', 'Garlic', 'Dill', 'Salt', 'Pepper']","['Brush salmon fillets with olive oil. Season with lemon juice, minced garlic, dill, salt, and pepper.', 'Grill skin-side down until fish is cooked through and skin is crispy.']"
Chocolate Cake,"['All-purpose flour', 'Cocoa powder', 'Sugar', 'Baking powder', 'Baking soda', 'Salt', 'Eggs', 'Milk', 'Vegetable oil', 'Vanilla extract', 'Boiling water']","['Mix dry ingredients. Add eggs, milk, oil, and vanilla extract. Beat until smooth.', 'Stir in boiling water. Pour batter into prepared cake pans.', 'Bake until a toothpick inserted into the center comes out clean.']"
Tacos,"['Tortillas', 'Ground beef or chicken', 'Taco seasoning', 'Lettuce', 'Tomato', 'Onion', 'Cheese', 'Salsa', 'Sour cream', 'Guacamole']","['Cook meat with taco seasoning. Warm tortillas.', 'Assemble tacos with meat, lettuce, tomato, onion, cheese, salsa, sour cream, and guacamole.']"
Hamburger,"['Ground beef', 'Salt', 'Pepper', 'Hamburger buns', 'Lettuce', 'Tomato', 'Onion', 'Cheese', 'Ketchup', 'Mustard', 'Pickles']","['Season ground beef with salt and pepper. Form into patties.', 'Grill or fry patties until cooked to desired doneness.', 'Assemble burgers with lettuce, tomato, onion, cheese, ketchup, mustard, and pickles.']"
Baby Back Ribs,"['Baby back ribs', 'Barbecue sauce', 'Salt', 'Pepper', 'Garlic powder', 'Onion powder', 'Paprika', 'Brown sugar', 'Apple cider vinegar']","['Season ribs with salt, pepper, garlic powder, onion powder, and paprika.', 'Wrap ribs in foil and bake until tender.', 'Finish on the grill, basting with barbecue sauce mixed with brown sugar and apple cider vinegar.']"
Deviled Eggs,"['Eggs', 'Mayonnaise', 'Mustard', 'Vinegar', 'Salt', 'Pepper', 'Paprika (for garnish)']","['Hard boil eggs. Peel and halve lengthwise.', 'Remove yolks and mash with mayonnaise, mustard, vinegar, salt, and pepper.', 'Spoon or pipe mixture into egg white halves. Sprinkle with paprika.']"
French Fries,"['Potatoes', 'Vegetable oil', 'Salt']","['Cut potatoes into strips. Soak in cold water, then dry thoroughly.', 'Heat oil to 350°F (175°C). Fry potatoes in batches until golden brown.', 'Drain on paper towels and season with salt.']"
Dumplings,"['Dumpling wrappers', 'Ground meat (such as pork or chicken)', 'Cabbage', 'Green onions', 'Garlic', 'Ginger', 'Soy sauce', 'Sesame oil', 'Salt', 'Pepper']","['Mix ground meat with finely chopped cabbage, green onions, garlic, ginger, soy sauce, sesame oil, salt, and pepper.', 'Place a spoonful of filling onto each dumpling wrapper. Fold and seal.', 'Steam, boil, or pan-fry dumplings until cooked through.']"
Fried Rice,"['Cooked rice (preferably day-old)', 'Eggs', 'Vegetables (such as peas, carrots, and bell peppers)', 'Protein (such as shrimp, chicken, or pork)', 'Soy sauce', 'Sesame oil', 'Garlic', 'Ginger', 'Green onions', 'Salt', 'Pepper']","['Heat oil in a wok or skillet. Add beaten eggs and scramble.', 'Stir-fry protein until cooked. Add minced garlic, ginger, and chopped vegetables.', 'Add cooked rice and stir-fry until heated through. Season with soy sauce, sesame oil, salt, and pepper.']"
French Onion Soup,"['Onions', 'Butter', 'Beef broth', 'White wine', 'Baguette', 'Gruyere cheese', 'Salt', 'Pepper']","['Slice onions thinly. Cook in butter until caramelized.', 'Deglaze pan with white wine. Add beef broth and simmer.', 'Ladle soup into oven-safe bowls. Top with toasted baguette slices and grated Gruyere cheese.', 'Broil until cheese is bubbly and golden brown.']"
