String                                                                                                  ,Class
Recipes for triangular snacks with a dough exterior                                                     ,samosa
How to make a snack with a spicy potato and pea filling                                                 ,samosa
Creating deep-fried pastries with a savory interior                                                     ,samosa
Recipes for Indian style triangular pastries                                                            ,samosa
How to prepare a snack with a dough wrapper and spicy filling                                           ,samosa
Making a pastry with a deep-fried exterior                                                              ,samosa
Recipes for snacks with a spicy potato interior                                                         ,samosa
How to make Indian style pastries with a savory filling                                                 ,samosa
Creating a triangular snack with a dough exterior                                                       ,samosa
Recipes for deep-fried snacks with a potato and pea filling                                             ,samosa
How to prepare Indian style pastries with a spicy interior                                              ,samosa
Making a snack with a dough wrapper and savory filling                                                  ,samosa
Recipes for triangular pastries with a spicy potato filling                                             ,samosa
How to make a deep-fried snack with a savory interior                                                   ,samosa
Creating Indian style snacks with a dough exterior                                                      ,samosa
Recipes for spicy pastries with a potato and pea filling                                                ,samosa
How to prepare a triangular pastry with a dough wrapper                                                 ,samosa
Making deep-fried snacks with a savory filling                                                          ,samosa
Recipes for Indian style snacks with a spicy interior                                                   ,samosa
How to make a pastry with a potato and pea filling                                                      ,samosa
Creating a snack with a dough exterior and spicy filling                                                ,samosa
Recipes for deep-fried triangular pastries                                                              ,samosa
How to prepare Indian style pastries with a potato filling                                              ,samosa
