food,ingredients,recipe
Garlic Bread,"bread, butter, garlic, parsley","1. Preheat oven to 375°F (190°C).
2. In a small bowl, mix together softened butter, minced garlic, and chopped parsley.
3. Cut bread into slices, but not all the way through.
4. Spread garlic butter mixture between slices.
5. Wrap bread in aluminum foil.
6. Bake for 10-15 minutes until bread is toasted and butter is melted.
7. Serve hot."
Gnocchi,"potatoes, flour, egg, salt","1. Boil potatoes until tender, then peel and mash them.
2. In a bowl, mix mashed potatoes with flour, egg, and salt until dough forms.
3. Roll dough into long ropes, then cut into bite-sized pieces.
4. Bring a large pot of salted water to a boil.
5. Cook gnocchi in boiling water until they float to the surface, then remove with a slotted spoon.
6. Serve with your favorite sauce."
Greek Salad,"lettuce, tomatoes, cucumbers, red onion, Kalamata olives, feta cheese, olive oil, red wine vinegar, oregano, salt, pepper","1. Chop lettuce, tomatoes, cucumbers, and red onion.
2. Place chopped vegetables in a large bowl.
3. Add Kalamata olives and crumbled feta cheese to the bowl.
4. In a small bowl, whisk together olive oil, red wine vinegar, oregano, salt, and pepper to make the dressing.
5. Pour dressing over salad and toss to coat.
6. Serve immediately."
Grilled Cheese Sandwich,"bread, cheese, butter","1. Heat a skillet over medium heat.
2. Butter one side of each slice of bread.
3. Place one slice of bread, buttered side down, in the skillet.
4. Layer cheese on top of the bread in the skillet.
5. Top with the second slice of bread, buttered side up.
6. Cook until golden brown on each side and cheese is melted.
7. Serve hot."
Grilled Salmon,"salmon fillets, olive oil, lemon juice, garlic, dill, salt, pepper","1. Preheat grill to medium heat.
2. In a bowl, whisk together olive oil, lemon juice, minced garlic, chopped dill, salt, and pepper.
3. Brush salmon fillets with the marinade.
4. Place salmon fillets on the grill and cook for 4-5 minutes on each side until fish flakes easily with a fork.
5. Serve hot with additional lemon wedges."
Guacamole,"avocado, lime juice, onion, tomato, cilantro, jalapeño, garlic, salt, pepper","1. Mash avocados in a bowl with a fork.
2. Stir in lime juice to prevent browning.
3. Dice onion, tomato, cilantro, jalapeño, and garlic.
4. Add diced ingredients to the bowl with mashed avocado.
5. Season with salt and pepper, then mix well.
6. Serve immediately with tortilla chips."
Gyoza,"ground pork, cabbage, garlic, ginger, soy sauce, sesame oil, salt, pepper, gyoza wrappers","1. Finely chop cabbage and mix with ground pork, minced garlic, grated ginger, soy sauce, sesame oil, salt, and pepper.
2. Place a spoonful of filling in the center of a gyoza wrapper.
3. Moisten the edges of the wrapper with water, then fold in half and pleat the edges to seal.
4. Heat oil in a skillet over medium-high heat.
5. Arrange gyoza in the skillet and cook until bottoms are golden brown.
6. Add water to the skillet, cover, and steam until filling is cooked through.
7. Serve hot with dipping sauce."
Hamburger,"ground beef, salt, pepper, hamburger buns, cheese, lettuce, tomato, onion, pickles, ketchup, mustard, mayonnaise","1. Divide ground beef into equal portions and shape into patties.
2. Season patties with salt and pepper.
3. Grill or cook patties in a skillet over medium-high heat until cooked to desired doneness.
4. Toast hamburger buns on the grill or in a toaster.
5. Assemble burgers with cooked patties, cheese, lettuce, tomato, onion, pickles, ketchup, mustard, and mayonnaise.
6. Serve hamburgers hot and enjoy!"
Hot Dog,"hot dog sausage, hot dog bun, mustard, ketchup, relish, onions, sauerkraut","1. Grill or boil hot dog sausages until heated through.
2. Toast hot dog buns on the grill or in a toaster.
3. Place grilled hot dog sausages in toasted buns.
4. Serve with mustard, ketchup, relish, onions, and sauerkraut."
Hot and Sour Soup,"chicken or vegetable broth, tofu, mushrooms, bamboo shoots, vinegar, soy sauce, chili paste, cornstarch, eggs, green onions","1. In a pot, bring chicken or vegetable broth to a simmer.
2. Add diced tofu, sliced mushrooms, and sliced bamboo shoots to the pot.
3. In a small bowl, mix together vinegar, soy sauce, chili paste, and cornstarch to make a slurry.
4. Stir slurry into the soup and simmer until thickened.
5. Beat eggs and slowly pour them into the simmering soup while stirring gently.
6. Cook for another minute until eggs are set.
7. Season with salt and pepper to taste.
8. Garnish with chopped green onions before serving."
Huevos Rancheros,"tortillas, eggs, black beans, salsa, avocado, cheese, cilantro, salt, pepper","1. Warm tortillas in a skillet or microwave.
2. Cook eggs as desired (fried, scrambled, or poached).
3. Heat black beans in a saucepan until warm.
4. Place warm tortillas on plates and top with cooked eggs.
5. Spoon warmed black beans over eggs.
6. Top with salsa, sliced avocado, shredded cheese, and chopped cilantro.
7. Season with salt and pepper to taste.
8. Serve immediately."
Hummus,"chickpeas, tahini, lemon juice, garlic, cumin, olive oil, salt, paprika","1. Rinse and drain chickpeas.
2. In a food processor, combine chickpeas, tahini, lemon juice, minced garlic, cumin, olive oil, and salt.
3. Process until smooth, adding water as needed to achieve desired consistency.
4. Transfer hummus to a serving bowl.
5. Drizzle with olive oil and sprinkle with paprika before serving."
Ice Cream,"cream, sugar, vanilla extract","1. In a bowl, mix together cream, sugar, and vanilla extract until sugar is dissolved.
2. Pour mixture into an ice cream maker.
3. Churn according to manufacturer's instructions.
4. Transfer churned ice cream to a container and freeze until firm.
5. Serve scoops of ice cream."
